i,c,id,s,f
UnitedHealthcare,Autauga County,"Autauga, AL",AL,01001
Blue Cross and Blue Shield of Alabama,Autauga County,"Autauga, AL",AL,01001
Blue Cross and Blue Shield of Alabama,Baldwin County,"Baldwin, AL",AL,01003
UnitedHealthcare,Baldwin County,"Baldwin, AL",AL,01003
Blue Cross and Blue Shield of Alabama,Barbour County,"Barbour, AL",AL,01005
UnitedHealthcare,Barbour County,"Barbour, AL",AL,01005
UnitedHealthcare,Bibb County,"Bibb, AL",AL,01007
Blue Cross and Blue Shield of Alabama,Bibb County,"Bibb, AL",AL,01007
UnitedHealthcare,Blount County,"Blount, AL",AL,01009
Blue Cross and Blue Shield of Alabama,Blount County,"Blount, AL",AL,01009
Blue Cross and Blue Shield of Alabama,Bullock County,"Bullock, AL",AL,01011
UnitedHealthcare,Bullock County,"Bullock, AL",AL,01011
UnitedHealthcare,Butler County,"Butler, AL",AL,01013
Blue Cross and Blue Shield of Alabama,Butler County,"Butler, AL",AL,01013
Blue Cross and Blue Shield of Alabama,Calhoun County,"Calhoun, AL",AL,01015
UnitedHealthcare,Calhoun County,"Calhoun, AL",AL,01015
Blue Cross and Blue Shield of Alabama,Chambers County,"Chambers, AL",AL,01017
UnitedHealthcare,Chambers County,"Chambers, AL",AL,01017
Blue Cross and Blue Shield of Alabama,Cherokee County,"Cherokee, AL",AL,01019
UnitedHealthcare,Cherokee County,"Cherokee, AL",AL,01019
Blue Cross and Blue Shield of Alabama,Chilton County,"Chilton, AL",AL,01021
UnitedHealthcare,Chilton County,"Chilton, AL",AL,01021
Blue Cross and Blue Shield of Alabama,Choctaw County,"Choctaw, AL",AL,01023
UnitedHealthcare,Choctaw County,"Choctaw, AL",AL,01023
UnitedHealthcare,Clarke County,"Clarke, AL",AL,01025
Blue Cross and Blue Shield of Alabama,Clarke County,"Clarke, AL",AL,01025
Blue Cross and Blue Shield of Alabama,Clay County,"Clay, AL",AL,01027
UnitedHealthcare,Clay County,"Clay, AL",AL,01027
Blue Cross and Blue Shield of Alabama,Cleburne County,"Cleburne, AL",AL,01029
UnitedHealthcare,Cleburne County,"Cleburne, AL",AL,01029
