i,c,id,s,f
Blue Cross and Blue Shield of Alabama,Autauga County,"Autauga, AL",AL,01001
Blue Cross and Blue Shield of Alabama,Baldwin County,"Baldwin, AL",AL,01003
Blue Cross and Blue Shield of Alabama,Barbour County,"Barbour, AL",AL,01005
Blue Cross and Blue Shield of Alabama,Bibb County,"Bibb, AL",AL,01007
Blue Cross and Blue Shield of Alabama,Blount County,"Blount, AL",AL,01009
Blue Cross and Blue Shield of Alabama,Bullock County,"Bullock, AL",AL,01011
Blue Cross and Blue Shield of Alabama,Butler County,"Butler, AL",AL,01013
Blue Cross and Blue Shield of Alabama,Calhoun County,"Calhoun, AL",AL,01015
Blue Cross and Blue Shield of Alabama,Chambers County,"Chambers, AL",AL,01017
Blue Cross and Blue Shield of Alabama,Cherokee County,"Cherokee, AL",AL,01019
Blue Cross and Blue Shield of Alabama,Chilton County,"Chilton, AL",AL,01021
Blue Cross and Blue Shield of Alabama,Choctaw County,"Choctaw, AL",AL,01023
Blue Cross and Blue Shield of Alabama,Clarke County,"Clarke, AL",AL,01025
Blue Cross and Blue Shield of Alabama,Clay County,"Clay, AL",AL,01027
Blue Cross and Blue Shield of Alabama,Cleburne County,"Cleburne, AL",AL,01029
Blue Cross and Blue Shield of Alabama,Coffee County,"Coffee, AL",AL,01031
Blue Cross and Blue Shield of Alabama,Colbert County,"Colbert, AL",AL,01033
Blue Cross and Blue Shield of Alabama,Conecuh County,"Conecuh, AL",AL,01035
Blue Cross and Blue Shield of Alabama,Coosa County,"Coosa, AL",AL,01037
Blue Cross and Blue Shield of Alabama,Covington County,"Covington, AL",AL,01039
Blue Cross and Blue Shield of Alabama,Crenshaw County,"Crenshaw, AL",AL,01041
Blue Cross and Blue Shield of Alabama,Cullman County,"Cullman, AL",AL,01043
Blue Cross and Blue Shield of Alabama,Dale County,"Dale, AL",AL,01045
Blue Cross and Blue Shield of Alabama,Dallas County,"Dallas, AL",AL,01047
Blue Cross and Blue Shield of Alabama,DeKalb County,"DeKalb, AL",AL,01049
Blue Cross and Blue Shield of Alabama,Elmore County,"Elmore, AL",AL,01051
Blue Cross and Blue Shield of Alabama,Escambia County,"Escambia, AL",AL,01053
Blue Cross and Blue Shield of Alabama,Etowah County,"Etowah, AL",AL,01055
Blue Cross and Blue Shield of Alabama,Fayette County,"Fayette, AL",AL,01057
Blue Cross and Blue Shield of Alabama,Franklin County,"Franklin, AL",AL,01059
Blue Cross and Blue Shield of Alabama,Geneva County,"Geneva, AL",AL,01061
Blue Cross and Blue Shield of Alabama,Greene County,"Greene, AL",AL,01063
Blue Cross and Blue Shield of Alabama,Hale County,"Hale, AL",AL,01065
Blue Cross and Blue Shield of Alabama,Henry County,"Henry, AL",AL,01067
Blue Cross and Blue Shield of Alabama,Houston County,"Houston, AL",AL,01069
Blue Cross and Blue Shield of Alabama,Jackson County,"Jackson, AL",AL,01071
Blue Cross and Blue Shield of Alabama,Jefferson County,"Jefferson, AL",AL,01073
Blue Cross and Blue Shield of Alabama,Lamar County,"Lamar, AL",AL,01075
Blue Cross and Blue Shield of Alabama,Lauderdale County,"Lauderdale, AL",AL,01077
Blue Cross and Blue Shield of Alabama,Lawrence County,"Lawrence, AL",AL,01079
