County,Number of Issuers,Issuers
"Dawson, TX",2,"['SHA, LLC DBA FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Harper, OK",2,"['UnitedHealthcare of Oklahoma, Inc.', 'Blue Cross Blue Shield of Oklahoma']"
"Clarendon, SC",2,"['Blue Cross and Blue Shield of South Carolina', 'BlueChoice HealthPlan of South Carolina, Inc.']"
"Carson, NV",3,"['Rocky Mountain Hospital and Medical Service, Inc., dba Anthem Blue Cross and Blue Shield', 'HMO Colorado, Inc., dba HMO Nevada', 'Prominence HealthFirst']"
"Winchester city, VA",4,"['Innovation Health Insurance Company', 'HealthKeepers, Inc.', 'Optima Health Plan', 'UnitedHealthcare of the Mid-Atlantic Inc']"
"Converse, WY",1,['Blue Cross Blue Shield of Wyoming']
"Perkins, SD",2,"['Avera Health Plans, Inc.', 'Sanford Health Plan']"
"Bibb, AL",2,"['UnitedHealthcare of Alabama, Inc.', 'Blue Cross and Blue Shield of Alabama']"
"Reeves, TX",2,"['SHA, LLC DBA FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Noxubee, MS",2,"['Ambetter of Magnolia Inc.', 'UnitedHealthcare of Mississippi, Inc.']"
"Perry, AL",2,"['UnitedHealthcare of Alabama, Inc.', 'Blue Cross and Blue Shield of Alabama']"
"Nemaha, NE",4,"['Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska', 'Medica Insurance Company', 'UnitedHealthcare of the Midlands, Inc.']"
"Mercer, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Perry, AR",5,"['QualChoice Life & Health Insurance Company, Inc.', 'UnitedHealthcare of Arkansas, Inc.', 'USAble Mutual Insurance Company', 'Celtic Insurance Company', 'QCA Health Plan, Inc.']"
"Kauai, HI",2,"['Kaiser Foundation Health Plan, Inc.', 'Hawaii Medical Service Association']"
"Sullivan, MO",3,"['Healthy Alliance Life Co(Anthem BCBS)', 'All Savers Insurance Company', 'Coventry Health & Life Insurance Co.']"
"Clinton, IA",3,"['Medica Insurance Company', 'UnitedHealthcare of the Midlands, Inc.', 'Aetna Health Inc. (a IA corp.)']"
"Madison, OH",6,"['Aetna Life Insurance Company', 'Medical Health Insuring Corp. of Ohio', 'CareSource', 'Community Insurance Company(Anthem BCBS)', 'All Savers Insurance Company', 'UnitedHealthcare of Ohio, Inc.']"
"Clinton, IN",5,"['Indiana University Health Plans, Inc.', 'MDwise Marketplace, Inc.', 'All Savers Insurance Company', 'Physicians Health Plan of Northern Indiana, Inc.', 'Anthem Ins Companies Inc(Anthem BCBS)']"
"Clinton, IL",3,"['Coventry Health & Life Co.', 'Blue Cross Blue Shield of Illinois', 'Health Alliance Medical Plans, Inc.']"
"Barton, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'UnitedHealthcare of the Midwest, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"Wright, MO",3,"['All Savers Insurance Company', 'Coventry Health and Life', 'Healthy Alliance Life Co(Anthem BCBS)']"
"Wayne, GA",4,"['Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.', 'UnitedHealthcare of Georgia, Inc.', 'Aetna Health Inc. (a GA corp.)', 'Humana Employers Health Plan of Georgia, Inc.']"
"Childress, TX",2,"['Blue Cross Blue Shield of Texas', 'SHA, LLC DBA FirstCare Health Plans']"
"Coos, OR",5,"['LifeWise Health Plan of Oregon', 'Providence Health Plan', 'BridgeSpan Health Company', 'PacificSource Health Plans', 'Moda Health Plan, Inc.']"
"Orange, TX",4,"['Aetna Life Insurance Company', 'Humana Health Plan of Texas, Inc.', 'Blue Cross Blue Shield of Texas', 'Community Health Choice, Inc.']"
"Lycoming, PA",4,"['Geisinger Quality Options', 'Aetna Health Inc. (a PA corp.)', 'First Priority Life Insurance Company, Inc.', 'Geisinger Health Plan']"
"Norfolk city, VA",2,"['Optima Health Plan', 'HealthKeepers, Inc.']"
"Mineral, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Chester, TN",2,"['UnitedHealthcare Insurance Company', 'BlueCross BlueShield of Tennessee']"
"McCulloch, TX",4,"['Insurance Company of Scott & White', 'SHA, LLC DBA FirstCare Health Plans', 'Blue Cross Blue Shield of Texas', 'Scott and White Health Plan']"
"Hidalgo, TX",7,"['All Savers Insurance Company', 'Blue Cross Blue Shield of Texas', 'Prominence HealthFirst of Texas, Inc.', 'Allegian Insurance Company', 'Celtic Insurance Company', 'Humana Insurance Company', 'Molina Healthcare of Texas']"
"McClain, OK",2,"['UnitedHealthcare of Oklahoma, Inc.', 'Blue Cross Blue Shield of Oklahoma']"
"Sequoyah, OK",2,"['Blue Cross Blue Shield of Oklahoma', 'UnitedHealthcare of Oklahoma, Inc.']"
"Box Elder, UT",2,"['SelectHealth', 'University of Utah Health Insurance Plans']"
"Clark, AR",5,"['QualChoice Life & Health Insurance Company, Inc.', 'QCA Health Plan, Inc.', 'Celtic Insurance Company', 'USAble Mutual Insurance Company', 'UnitedHealthcare of Arkansas, Inc.']"
"Hodgeman, KS",3,"['BlueCross BlueShield Kansas Solutions, Inc.', 'Blue Cross and Blue Shield of Kansas, Inc.', 'UnitedHealthcare of the Midwest, Inc.']"
"Perry, OH",5,"['HealthSpan', 'Community Insurance Company(Anthem BCBS)', 'All Savers Insurance Company', 'UnitedHealthcare of Ohio, Inc.', 'Medical Health Insuring Corp. of Ohio']"
"Prince of Wales-Hyder Census, AK",2,"['Moda Health Plan, Inc.', 'Premera Blue Cross Blue Shield of Alaska']"
"Marshall, TN",2,"['BlueCross BlueShield of Tennessee', 'UnitedHealthcare Insurance Company']"
"Brown, TX",1,['Blue Cross Blue Shield of Texas']
"Logan, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Warren, GA",3,"['UnitedHealthcare of Georgia, Inc.', 'Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.', 'Humana Employers Health Plan of Georgia, Inc.']"
"Grundy, MO",3,"['All Savers Insurance Company', 'Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas City']"
"Jasper, IA",3,"['Medica Insurance Company', 'UnitedHealthcare of the Midlands, Inc.', 'Aetna Health Inc. (a IA corp.)']"
"Jasper, IN",4,"['MDwise Marketplace, Inc.', 'Physicians Health Plan of Northern Indiana, Inc.', 'Anthem Ins Companies Inc(Anthem BCBS)', 'All Savers Insurance Company']"
"Jasper, IL",3,"['Health Alliance Medical Plans, Inc.', 'Blue Cross Blue Shield of Illinois', 'Coventry Health Care of Illinois, Inc.']"
"Rockingham, NC",2,"['Blue Cross and Blue Shield of NC', 'UnitedHealthcare of North Carolina, Inc']"
"Ouachita, AR",5,"['Celtic Insurance Company', 'QualChoice Life & Health Insurance Company, Inc.', 'USAble Mutual Insurance Company', 'QCA Health Plan, Inc.', 'UnitedHealthcare of Arkansas, Inc.']"
"Geneva, AL",2,"['Blue Cross and Blue Shield of Alabama', 'UnitedHealthcare of Alabama, Inc.']"
"Keokuk, IA",3,"['Aetna Health Inc. (a IA corp.)', 'UnitedHealthcare of the Midlands, Inc.', 'Medica Insurance Company']"
"Scotland, MO",3,"['Coventry Health & Life Insurance Co.', 'Healthy Alliance Life Co(Anthem BCBS)', 'All Savers Insurance Company']"
"Menard, IL",3,"['Coventry Health Care of Illinois, Inc.', 'Health Alliance Medical Plans, Inc.', 'Blue Cross Blue Shield of Illinois']"
"Hot Springs, WY",1,['Blue Cross Blue Shield of Wyoming']
"Lunenburg, VA",4,"['Optima Health Plan', 'Piedmont Community HealthCare HMO, Inc.', 'Piedmont Community HealthCare, Inc.', 'HealthKeepers, Inc.']"
"Stanton, NE",4,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.', 'Medica Insurance Company', 'UnitedHealthcare of the Midlands, Inc.']"
"DeKalb, IN",6,"['Celtic Insurance Company', 'All Savers Insurance Company', 'MDwise Marketplace, Inc.', 'CareSource Indiana, Inc.', 'Physicians Health Plan of Northern Indiana, Inc.', 'Anthem Ins Companies Inc(Anthem BCBS)']"
"Sully, SD",2,"['Avera Health Plans, Inc.', 'Sanford Health Plan']"
"DeKalb, IL",4,"['Health Alliance Medical Plans, Inc.', 'Humana Health Plan, Inc.', 'Blue Cross Blue Shield of Illinois', 'Coventry Health Care of Illinois, Inc.']"
"Angelina, TX",1,['Blue Cross Blue Shield of Texas']
"Mississippi, MO",3,"['Coventry Health & Life Insurance Co.', 'Healthy Alliance Life Co(Anthem BCBS)', 'All Savers Insurance Company']"
"Yellowstone, MT",3,"['PacificSource Health Plans', 'Montana Health Cooperative', 'Blue Cross and Blue Shield of Montana']"
"Grant, LA",4,"['UnitedHealthcare of Louisiana, Inc.', 'Vantage Health Plan, Inc.', 'HMO Louisiana, Inc.', 'Louisiana Health Service & Indemnity Company']"
"DeKalb, GA",8,"['Kaiser Foundation Health Plan of Georgia', 'Ambetter of Peach State Inc.', 'Cigna Health and Life Insurance Company', 'Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.', 'Harken Health Insurance Company', 'UnitedHealthcare of Georgia, Inc.', 'Humana Employers Health Plan of Georgia, Inc.', 'Aetna Health Inc. (a GA corp.)']"
