County,Number of Issuers,Issuers
"Dawson, TX",2,"['Blue Cross and Blue Shield of Texas', 'FirstCare Health Plans']"
"Harper, OK",1,['Blue Cross and Blue Shield of Oklahoma']
"Clarendon, SC",3,"['BlueCross BlueShield of South Carolina', 'BlueChoice HealthPlan', ""Consumers' Choice Health Plan""]"
"Carson, NV",3,"['Prominence HealthFirst', 'Nevada Health CO-OP', 'HMO Colorado Inc dba HMO NV(Anthem BCBS)']"
"Winchester city, VA",2,"['HealthKeepers, Inc.', 'Optima Health']"
"Converse, WY",2,"['Blue Cross Blue Shield of Wyoming', 'WINhealth Partners']"
"Perkins, SD",3,"['Sanford Health Plan', 'DAKOTACARE', 'Avera Health Plans, Inc.']"
"Bibb, AL",2,"['UnitedHealthcare', 'Blue Cross and Blue Shield of Alabama']"
"Reeves, TX",2,"['FirstCare Health Plans', 'Blue Cross and Blue Shield of Texas']"
"Noxubee, MS",2,"['UnitedHealthcare', 'Ambetter from Magnolia Health']"
"Perry, AL",2,"['Blue Cross and Blue Shield of Alabama', 'UnitedHealthcare']"
"Nemaha, NE",2,"['Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska']"
"Mercer, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Perry, AR",4,"['QC Life and Health', 'QualChoice Health Insurance', 'Ambetter of Arkansas', 'Arkansas Blue Cross and Blue Shield']"
"Sullivan, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health Care']"
"Clinton, IA",1,['Coventry Health Care of Iowa Inc.']
"Madison, OH",5,"['Anthem Blue Cross and Blue Shield', 'Aetna', 'CareSource', 'InHealth Mutual', 'MedMutual']"
"Clinton, IN",5,"['Indiana University Health Plans, Inc.', 'Anthem Blue Cross and Blue Shield', 'UnitedHealthcare', 'PHP', 'MDwise Marketplace']"
"Clinton, IL",4,"['Blue Cross and Blue Shield of Illinois', 'Land of Lincoln Mutual Health Insurance Company', 'Coventry Health Care', 'Health Alliance Medical Plans, Inc.']"
"Barton, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"Wright, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health and Life']"
"Wayne, GA",4,"['Humana, Inc.', 'Coventry Health Care of Georgia, Inc.', 'UnitedHealthcare', 'Blue Cross Blue Shield Healthcare Plan of Georgia']"
"Childress, TX",2,"['Blue Cross and Blue Shield of Texas', 'FirstCare Health Plans']"
"Coos, OR",7,"['LifeWise Health Plan of Oregon', 'Providence Health Plan', 'BridgeSpan Health Company', 'Moda Health Plan, Inc.', ""Oregon's Health CO-OP"", 'Health Republic', 'PacificSource Health Plans']"
"Orange, TX",4,"['Aetna', 'Humana, Inc.', 'Blue Cross and Blue Shield of Texas', 'Community Health Choice']"
"Lycoming, PA",4,"['Blue Cross of Northeastern Pennsylvania', 'HealthAmerica Pennsylvania, Inc.', 'Geisinger Choice', 'Geisinger Health Plan']"
"Norfolk city, VA",2,"['Optima Health', 'HealthKeepers, Inc.']"
"Mineral, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Chester, TN",1,['BlueCross BlueShield of Tennessee']
"McCulloch, TX",3,"['Blue Cross and Blue Shield of Texas', 'FirstCare Health Plans', 'Scott and White Health Plan']"
"Hidalgo, TX",6,"['Humana, Inc.', 'Blue Cross and Blue Shield of Texas', 'Allegian Choice', 'Molina Marketplace', 'Ambetter from Superior Health Plan', 'UnitedHealthcare']"
