County,Number of Issuers,Issuers
"Dawson, TX",2,"['SHA, LLC DBA FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Harper, OK",1,['Blue Cross Blue Shield of Oklahoma']
"Clarendon, SC",2,"['Blue Cross and Blue Shield of South Carolina', 'BlueChoice HealthPlan of South Carolina, Inc.']"
"Carson, NV",3,"['Rocky Mountain Hospital and Medical Service, Inc., dba Anthem Blue Cross and Blue Shield', 'HMO Colorado, Inc., dba HMO Nevada', 'Prominence HealthFirst']"
"Winchester city, VA",4,"['Innovation Health Insurance Company', 'HealthKeepers, Inc.', 'Optima Health Plan', 'UnitedHealthcare of the Mid-Atlantic Inc']"
"Converse, WY",1,['Blue Cross Blue Shield of Wyoming']
"Perkins, SD",2,"['Avera Health Plans, Inc.', 'Sanford Health Plan']"
"Bibb, AL",1,['Blue Cross and Blue Shield of Alabama']
"Reeves, TX",2,"['SHA, LLC DBA FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Noxubee, MS",1,['Ambetter of Magnolia Inc.']
"Perry, AL",1,['Blue Cross and Blue Shield of Alabama']
"Nemaha, NE",2,"['Blue Cross and Blue Shield of Nebraska', 'Medica Insurance Company']"
"Mercer, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Perry, AR",4,"['QualChoice Life & Health Insurance Company, Inc.', 'USAble Mutual Insurance Company', 'Celtic Insurance Company', 'QCA Health Plan, Inc.']"
"Kauai, HI",2,"['Kaiser Foundation Health Plan, Inc.', 'Hawaii Medical Service Association']"
"Sullivan, MO",1,['Healthy Alliance Life Co(Anthem BCBS)']
"Clinton, IA",3,"['Medica Insurance Company', 'Aetna Health Inc. (a IA corp.)', 'Wellmark Value Health Plan']"
"Madison, OH",3,"['Medical Health Insuring Corp. of Ohio', 'CareSource', 'Community Insurance Company(Anthem BCBS)']"
"Clinton, IN",4,"['Indiana University Health Plans, Inc.', 'MDwise Marketplace, Inc.', 'Physicians Health Plan of Northern Indiana, Inc.', 'Anthem Ins Companies Inc(Anthem BCBS)']"
"Clinton, IL",2,"['Blue Cross Blue Shield of Illinois', 'Health Alliance Medical Plans, Inc.']"
"Barton, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.', 'Medica']"
"Wright, MO",2,"['Coventry Health and Life', 'Healthy Alliance Life Co(Anthem BCBS)']"
"Wayne, GA",2,"['Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.', 'Humana Employers Health Plan of Georgia, Inc.']"
"Childress, TX",2,"['Blue Cross Blue Shield of Texas', 'SHA, LLC DBA FirstCare Health Plans']"
"Coos, OR",4,"['Providence Health Plan', 'BridgeSpan Health Company', 'PacificSource Health Plans', 'Moda Health Plan, Inc.']"
"Orange, TX",3,"['Humana Health Plan of Texas, Inc.', 'Blue Cross Blue Shield of Texas', 'Community Health Choice, Inc.']"
"Lycoming, PA",3,"['Geisinger Quality Options', 'First Priority Life Insurance Company, Inc.', 'Geisinger Health Plan']"
"Norfolk city, VA",2,"['Optima Health Plan', 'HealthKeepers, Inc.']"
"Mineral, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Chester, TN",1,['BlueCross BlueShield of Tennessee']
"McCulloch, TX",4,"['Insurance Company of Scott & White', 'SHA, LLC DBA FirstCare Health Plans', 'Blue Cross Blue Shield of Texas', 'Scott and White Health Plan']"
"Hidalgo, TX",6,"['Blue Cross Blue Shield of Texas', 'Prominence HealthFirst of Texas, Inc.', 'Allegian Insurance Company', 'Celtic Insurance Company', 'Humana Insurance Company', 'Molina Healthcare of Texas']"
"McClain, OK",1,['Blue Cross Blue Shield of Oklahoma']
"Sequoyah, OK",1,['Blue Cross Blue Shield of Oklahoma']
"Box Elder, UT",2,"['SelectHealth', 'University of Utah Health Insurance Plans']"
"Clark, AR",4,"['QualChoice Life & Health Insurance Company, Inc.', 'QCA Health Plan, Inc.', 'Celtic Insurance Company', 'USAble Mutual Insurance Company']"
"Hodgeman, KS",3,"['BlueCross BlueShield Kansas Solutions, Inc.', 'Blue Cross and Blue Shield of Kansas, Inc.', 'Medica']"
"Perry, OH",3,"['HealthSpan', 'Community Insurance Company(Anthem BCBS)', 'Medical Health Insuring Corp. of Ohio']"
"Prince of Wales-Hyder Census, AK",1,['Premera Blue Cross Blue Shield of Alaska']
"Marshall, TN",1,['BlueCross BlueShield of Tennessee']
"Brown, TX",1,['Blue Cross Blue Shield of Texas']
"Logan, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Warren, GA",2,"['Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.', 'Humana Employers Health Plan of Georgia, Inc.']"
"Grundy, MO",2,"['Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas City']"
"Jasper, IA",3,"['Medica Insurance Company', 'Aetna Health Inc. (a IA corp.)', 'Wellmark Value Health Plan']"
"Jasper, IN",3,"['MDwise Marketplace, Inc.', 'Physicians Health Plan of Northern Indiana, Inc.', 'Anthem Ins Companies Inc(Anthem BCBS)']"
"Jasper, IL",2,"['Health Alliance Medical Plans, Inc.', 'Blue Cross Blue Shield of Illinois']"
"Rockingham, NC",1,['Blue Cross and Blue Shield of NC']
"Ouachita, AR",4,"['Celtic Insurance Company', 'QualChoice Life & Health Insurance Company, Inc.', 'USAble Mutual Insurance Company', 'QCA Health Plan, Inc.']"
"Geneva, AL",1,['Blue Cross and Blue Shield of Alabama']
"Keokuk, IA",2,"['Aetna Health Inc. (a IA corp.)', 'Medica Insurance Company']"
"Scotland, MO",1,['Healthy Alliance Life Co(Anthem BCBS)']
"Menard, IL",2,"['Health Alliance Medical Plans, Inc.', 'Blue Cross Blue Shield of Illinois']"
"Hot Springs, WY",1,['Blue Cross Blue Shield of Wyoming']
"Lunenburg, VA",4,"['Optima Health Plan', 'Piedmont Community HealthCare HMO, Inc.', 'Piedmont Community HealthCare, Inc.', 'HealthKeepers, Inc.']"
"Stanton, NE",2,"['Blue Cross and Blue Shield of Nebraska', 'Medica Insurance Company']"
"DeKalb, IN",5,"['Celtic Insurance Company', 'MDwise Marketplace, Inc.', 'CareSource Indiana, Inc.', 'Physicians Health Plan of Northern Indiana, Inc.', 'Anthem Ins Companies Inc(Anthem BCBS)']"
"Sully, SD",2,"['Avera Health Plans, Inc.', 'Sanford Health Plan']"
"DeKalb, IL",3,"['Health Alliance Medical Plans, Inc.', 'Humana Health Plan, Inc.', 'Blue Cross Blue Shield of Illinois']"
"Angelina, TX",1,['Blue Cross Blue Shield of Texas']
"Mississippi, MO",1,['Healthy Alliance Life Co(Anthem BCBS)']
"Yellowstone, MT",3,"['PacificSource Health Plans', 'Montana Health Cooperative', 'Blue Cross and Blue Shield of Montana']"
"Grant, LA",3,"['Vantage Health Plan, Inc.', 'HMO Louisiana, Inc.', 'Louisiana Health Service & Indemnity Company']"
"DeKalb, GA",6,"['Kaiser Foundation Health Plan of Georgia', 'Ambetter of Peach State Inc.', 'Cigna Health and Life Insurance Company', 'Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.', 'Harken Health Insurance Company', 'Humana Employers Health Plan of Georgia, Inc.']"
"Walker, AL",1,['Blue Cross and Blue Shield of Alabama']
"Edgecombe, NC",1,['Blue Cross and Blue Shield of NC']
"Fairfield, SC",2,"['Blue Cross and Blue Shield of South Carolina', 'BlueChoice HealthPlan of South Carolina, Inc.']"
