i,s,c,id
,,,", "
"Moda Health Plan, Inc.",AK,Aleutians East,"Aleutians East, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Aleutians East,"Aleutians East, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Aleutians West Census,"Aleutians West Census, AK"
"Moda Health Plan, Inc.",AK,Aleutians West Census,"Aleutians West Census, AK"
"Moda Health Plan, Inc.",AK,Anchorage,"Anchorage, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Anchorage,"Anchorage, AK"
"Moda Health Plan, Inc.",AK,Bethel Census,"Bethel Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Bethel Census,"Bethel Census, AK"
"Moda Health Plan, Inc.",AK,Bristol Bay,"Bristol Bay, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Bristol Bay,"Bristol Bay, AK"
"Moda Health Plan, Inc.",AK,Denali,"Denali, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Denali,"Denali, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Dillingham Census,"Dillingham Census, AK"
"Moda Health Plan, Inc.",AK,Dillingham Census,"Dillingham Census, AK"
"Moda Health Plan, Inc.",AK,Fairbanks North Star,"Fairbanks North Star, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Fairbanks North Star,"Fairbanks North Star, AK"
"Moda Health Plan, Inc.",AK,Haines,"Haines, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Haines,"Haines, AK"
"Moda Health Plan, Inc.",AK,Hoonah-Angoon Census,"Hoonah-Angoon Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Hoonah-Angoon Census,"Hoonah-Angoon Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Juneau City and,"Juneau City and, AK"
"Moda Health Plan, Inc.",AK,Juneau City and,"Juneau City and, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Kenai Peninsula,"Kenai Peninsula, AK"
"Moda Health Plan, Inc.",AK,Kenai Peninsula,"Kenai Peninsula, AK"
"Moda Health Plan, Inc.",AK,Ketchikan Gateway,"Ketchikan Gateway, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Ketchikan Gateway,"Ketchikan Gateway, AK"
"Moda Health Plan, Inc.",AK,Kodiak Island,"Kodiak Island, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Kodiak Island,"Kodiak Island, AK"
"Moda Health Plan, Inc.",AK,Lake and Peninsula,"Lake and Peninsula, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Lake and Peninsula,"Lake and Peninsula, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Matanuska-Susitna,"Matanuska-Susitna, AK"
"Moda Health Plan, Inc.",AK,Matanuska-Susitna,"Matanuska-Susitna, AK"
"Moda Health Plan, Inc.",AK,Nome Census,"Nome Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Nome Census,"Nome Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,North Slope,"North Slope, AK"
"Moda Health Plan, Inc.",AK,North Slope,"North Slope, AK"
"Moda Health Plan, Inc.",AK,Northwest Arctic,"Northwest Arctic, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Northwest Arctic,"Northwest Arctic, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Petersburg Census,"Petersburg Census, AK"
"Moda Health Plan, Inc.",AK,Petersburg Census,"Petersburg Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Prince of Wales-Hyder Census,"Prince of Wales-Hyder Census, AK"
"Moda Health Plan, Inc.",AK,Prince of Wales-Hyder Census,"Prince of Wales-Hyder Census, AK"
"Moda Health Plan, Inc.",AK,Sitka City and,"Sitka City and, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Sitka City and,"Sitka City and, AK"
"Moda Health Plan, Inc.",AK,Skagway,"Skagway, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Skagway,"Skagway, AK"
"Moda Health Plan, Inc.",AK,Southeast Fairbanks Census,"Southeast Fairbanks Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Southeast Fairbanks Census,"Southeast Fairbanks Census, AK"
"Moda Health Plan, Inc.",AK,Valdez-Cordova Census,"Valdez-Cordova Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Valdez-Cordova Census,"Valdez-Cordova Census, AK"
"Moda Health Plan, Inc.",AK,Wade Hampton Census,"Wade Hampton Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Wade Hampton Census,"Wade Hampton Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Wrangell City and,"Wrangell City and, AK"
"Moda Health Plan, Inc.",AK,Wrangell City and,"Wrangell City and, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Yakutat City and,"Yakutat City and, AK"
"Moda Health Plan, Inc.",AK,Yakutat City and,"Yakutat City and, AK"
"Moda Health Plan, Inc.",AK,Yukon-Koyukuk Census,"Yukon-Koyukuk Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Yukon-Koyukuk Census,"Yukon-Koyukuk Census, AK"
Blue Cross and Blue Shield of Alabama,AL,Autauga,"Autauga, AL"
Blue Cross and Blue Shield of Alabama,AL,Baldwin,"Baldwin, AL"
Blue Cross and Blue Shield of Alabama,AL,Barbour,"Barbour, AL"
Blue Cross and Blue Shield of Alabama,AL,Bibb,"Bibb, AL"
Blue Cross and Blue Shield of Alabama,AL,Blount,"Blount, AL"
Blue Cross and Blue Shield of Alabama,AL,Bullock,"Bullock, AL"
Blue Cross and Blue Shield of Alabama,AL,Butler,"Butler, AL"
Blue Cross and Blue Shield of Alabama,AL,Calhoun,"Calhoun, AL"
Blue Cross and Blue Shield of Alabama,AL,Chambers,"Chambers, AL"
Blue Cross and Blue Shield of Alabama,AL,Cherokee,"Cherokee, AL"
Blue Cross and Blue Shield of Alabama,AL,Chilton,"Chilton, AL"
Blue Cross and Blue Shield of Alabama,AL,Choctaw,"Choctaw, AL"
Blue Cross and Blue Shield of Alabama,AL,Clarke,"Clarke, AL"
Blue Cross and Blue Shield of Alabama,AL,Clay,"Clay, AL"
Blue Cross and Blue Shield of Alabama,AL,Cleburne,"Cleburne, AL"
Blue Cross and Blue Shield of Alabama,AL,Coffee,"Coffee, AL"
Blue Cross and Blue Shield of Alabama,AL,Colbert,"Colbert, AL"
Blue Cross and Blue Shield of Alabama,AL,Conecuh,"Conecuh, AL"
Blue Cross and Blue Shield of Alabama,AL,Coosa,"Coosa, AL"
Blue Cross and Blue Shield of Alabama,AL,Covington,"Covington, AL"
Blue Cross and Blue Shield of Alabama,AL,Crenshaw,"Crenshaw, AL"
Blue Cross and Blue Shield of Alabama,AL,Cullman,"Cullman, AL"
Blue Cross and Blue Shield of Alabama,AL,Dale,"Dale, AL"
Blue Cross and Blue Shield of Alabama,AL,Dallas,"Dallas, AL"
Blue Cross and Blue Shield of Alabama,AL,DeKalb,"DeKalb, AL"
Blue Cross and Blue Shield of Alabama,AL,Elmore,"Elmore, AL"
Blue Cross and Blue Shield of Alabama,AL,Escambia,"Escambia, AL"
Blue Cross and Blue Shield of Alabama,AL,Etowah,"Etowah, AL"
Blue Cross and Blue Shield of Alabama,AL,Fayette,"Fayette, AL"
Blue Cross and Blue Shield of Alabama,AL,Franklin,"Franklin, AL"
Blue Cross and Blue Shield of Alabama,AL,Geneva,"Geneva, AL"
Blue Cross and Blue Shield of Alabama,AL,Greene,"Greene, AL"
Blue Cross and Blue Shield of Alabama,AL,Hale,"Hale, AL"
Blue Cross and Blue Shield of Alabama,AL,Henry,"Henry, AL"
Blue Cross and Blue Shield of Alabama,AL,Houston,"Houston, AL"
Blue Cross and Blue Shield of Alabama,AL,Jackson,"Jackson, AL"
Blue Cross and Blue Shield of Alabama,AL,Jefferson,"Jefferson, AL"
Humana Insurance Company,AL,Jefferson,"Jefferson, AL"
Blue Cross and Blue Shield of Alabama,AL,Lamar,"Lamar, AL"
Blue Cross and Blue Shield of Alabama,AL,Lauderdale,"Lauderdale, AL"
Blue Cross and Blue Shield of Alabama,AL,Lawrence,"Lawrence, AL"
Blue Cross and Blue Shield of Alabama,AL,Lee,"Lee, AL"
Blue Cross and Blue Shield of Alabama,AL,Limestone,"Limestone, AL"
Blue Cross and Blue Shield of Alabama,AL,Lowndes,"Lowndes, AL"
Blue Cross and Blue Shield of Alabama,AL,Macon,"Macon, AL"
Humana Insurance Company,AL,Madison,"Madison, AL"
Blue Cross and Blue Shield of Alabama,AL,Madison,"Madison, AL"
Blue Cross and Blue Shield of Alabama,AL,Marengo,"Marengo, AL"
Blue Cross and Blue Shield of Alabama,AL,Marion,"Marion, AL"
Blue Cross and Blue Shield of Alabama,AL,Marshall,"Marshall, AL"
Blue Cross and Blue Shield of Alabama,AL,Mobile,"Mobile, AL"
Blue Cross and Blue Shield of Alabama,AL,Monroe,"Monroe, AL"
Blue Cross and Blue Shield of Alabama,AL,Montgomery,"Montgomery, AL"
Blue Cross and Blue Shield of Alabama,AL,Morgan,"Morgan, AL"
Blue Cross and Blue Shield of Alabama,AL,Perry,"Perry, AL"
Blue Cross and Blue Shield of Alabama,AL,Pickens,"Pickens, AL"
Blue Cross and Blue Shield of Alabama,AL,Pike,"Pike, AL"
Blue Cross and Blue Shield of Alabama,AL,Randolph,"Randolph, AL"
Blue Cross and Blue Shield of Alabama,AL,Russell,"Russell, AL"
Blue Cross and Blue Shield of Alabama,AL,Shelby,"Shelby, AL"
Humana Insurance Company,AL,Shelby,"Shelby, AL"
Blue Cross and Blue Shield of Alabama,AL,St. Clair,"St. Clair, AL"
Blue Cross and Blue Shield of Alabama,AL,Sumter,"Sumter, AL"
Blue Cross and Blue Shield of Alabama,AL,Talladega,"Talladega, AL"
Blue Cross and Blue Shield of Alabama,AL,Tallapoosa,"Tallapoosa, AL"
Blue Cross and Blue Shield of Alabama,AL,Tuscaloosa,"Tuscaloosa, AL"
Blue Cross and Blue Shield of Alabama,AL,Walker,"Walker, AL"
Blue Cross and Blue Shield of Alabama,AL,Washington,"Washington, AL"
Blue Cross and Blue Shield of Alabama,AL,Wilcox,"Wilcox, AL"
Blue Cross and Blue Shield of Alabama,AL,Winston,"Winston, AL"
Arkansas Blue Cross and Blue Shield,AR,Arkansas,"Arkansas, AR"
Arkansas Blue Cross and Blue Shield,AR,Ashley,"Ashley, AR"
QualChoice Health Insurance,AR,Baxter,"Baxter, AR"
Ambetter of Arkansas,AR,Baxter,"Baxter, AR"
Arkansas Blue Cross and Blue Shield,AR,Baxter,"Baxter, AR"
QualChoice Health Insurance,AR,Benton,"Benton, AR"
Ambetter of Arkansas,AR,Benton,"Benton, AR"
Arkansas Blue Cross and Blue Shield,AR,Benton,"Benton, AR"
Ambetter of Arkansas,AR,Boone,"Boone, AR"
QualChoice Health Insurance,AR,Boone,"Boone, AR"
Arkansas Blue Cross and Blue Shield,AR,Boone,"Boone, AR"
Arkansas Blue Cross and Blue Shield,AR,Bradley,"Bradley, AR"
Arkansas Blue Cross and Blue Shield,AR,Calhoun,"Calhoun, AR"
Arkansas Blue Cross and Blue Shield,AR,Carroll,"Carroll, AR"
QualChoice Health Insurance,AR,Carroll,"Carroll, AR"
Ambetter of Arkansas,AR,Carroll,"Carroll, AR"
Arkansas Blue Cross and Blue Shield,AR,Chicot,"Chicot, AR"
QualChoice Health Insurance,AR,Clark,"Clark, AR"
Arkansas Blue Cross and Blue Shield,AR,Clark,"Clark, AR"
Arkansas Blue Cross and Blue Shield,AR,Clay,"Clay, AR"
QualChoice Health Insurance,AR,Clay,"Clay, AR"
QualChoice Health Insurance,AR,Cleburne,"Cleburne, AR"
Ambetter of Arkansas,AR,Cleburne,"Cleburne, AR"
Arkansas Blue Cross and Blue Shield,AR,Cleburne,"Cleburne, AR"
Arkansas Blue Cross and Blue Shield,AR,Cleveland,"Cleveland, AR"
Arkansas Blue Cross and Blue Shield,AR,Columbia,"Columbia, AR"
Arkansas Blue Cross and Blue Shield,AR,Conway,"Conway, AR"
QualChoice Health Insurance,AR,Conway,"Conway, AR"
Ambetter of Arkansas,AR,Conway,"Conway, AR"
QualChoice Health Insurance,AR,Craighead,"Craighead, AR"
Arkansas Blue Cross and Blue Shield,AR,Craighead,"Craighead, AR"
QualChoice Health Insurance,AR,Crawford,"Crawford, AR"
Arkansas Blue Cross and Blue Shield,AR,Crawford,"Crawford, AR"
Ambetter of Arkansas,AR,Crawford,"Crawford, AR"
QualChoice Health Insurance,AR,Crittenden,"Crittenden, AR"
Arkansas Blue Cross and Blue Shield,AR,Crittenden,"Crittenden, AR"
QualChoice Health Insurance,AR,Cross,"Cross, AR"
Arkansas Blue Cross and Blue Shield,AR,Cross,"Cross, AR"
Arkansas Blue Cross and Blue Shield,AR,Dallas,"Dallas, AR"
Arkansas Blue Cross and Blue Shield,AR,Desha,"Desha, AR"
Arkansas Blue Cross and Blue Shield,AR,Drew,"Drew, AR"
Ambetter of Arkansas,AR,Faulkner,"Faulkner, AR"
Arkansas Blue Cross and Blue Shield,AR,Faulkner,"Faulkner, AR"
QualChoice Health Insurance,AR,Faulkner,"Faulkner, AR"
QualChoice Health Insurance,AR,Franklin,"Franklin, AR"
Ambetter of Arkansas,AR,Franklin,"Franklin, AR"
Arkansas Blue Cross and Blue Shield,AR,Franklin,"Franklin, AR"
Arkansas Blue Cross and Blue Shield,AR,Fulton,"Fulton, AR"
QualChoice Health Insurance,AR,Fulton,"Fulton, AR"
Arkansas Blue Cross and Blue Shield,AR,Garland,"Garland, AR"
QualChoice Health Insurance,AR,Garland,"Garland, AR"
QualChoice Health Insurance,AR,Grant,"Grant, AR"
Arkansas Blue Cross and Blue Shield,AR,Grant,"Grant, AR"
Ambetter of Arkansas,AR,Grant,"Grant, AR"
Arkansas Blue Cross and Blue Shield,AR,Greene,"Greene, AR"
QualChoice Health Insurance,AR,Greene,"Greene, AR"
Arkansas Blue Cross and Blue Shield,AR,Hempstead,"Hempstead, AR"
Arkansas Blue Cross and Blue Shield,AR,Hot Spring,"Hot Spring, AR"
QualChoice Health Insurance,AR,Hot Spring,"Hot Spring, AR"
Arkansas Blue Cross and Blue Shield,AR,Howard,"Howard, AR"
Arkansas Blue Cross and Blue Shield,AR,Independence,"Independence, AR"
QualChoice Health Insurance,AR,Independence,"Independence, AR"
QualChoice Health Insurance,AR,Izard,"Izard, AR"
Arkansas Blue Cross and Blue Shield,AR,Izard,"Izard, AR"
Arkansas Blue Cross and Blue Shield,AR,Jackson,"Jackson, AR"
QualChoice Health Insurance,AR,Jackson,"Jackson, AR"
Arkansas Blue Cross and Blue Shield,AR,Jefferson,"Jefferson, AR"
QualChoice Health Insurance,AR,Johnson,"Johnson, AR"
Ambetter of Arkansas,AR,Johnson,"Johnson, AR"
Arkansas Blue Cross and Blue Shield,AR,Johnson,"Johnson, AR"
Arkansas Blue Cross and Blue Shield,AR,Lafayette,"Lafayette, AR"
QualChoice Health Insurance,AR,Lawrence,"Lawrence, AR"
Arkansas Blue Cross and Blue Shield,AR,Lawrence,"Lawrence, AR"
Arkansas Blue Cross and Blue Shield,AR,Lee,"Lee, AR"
Arkansas Blue Cross and Blue Shield,AR,Lincoln,"Lincoln, AR"
Arkansas Blue Cross and Blue Shield,AR,Little River,"Little River, AR"
Ambetter of Arkansas,AR,Logan,"Logan, AR"
Arkansas Blue Cross and Blue Shield,AR,Logan,"Logan, AR"
QualChoice Health Insurance,AR,Logan,"Logan, AR"
QualChoice Health Insurance,AR,Lonoke,"Lonoke, AR"
Arkansas Blue Cross and Blue Shield,AR,Lonoke,"Lonoke, AR"
Ambetter of Arkansas,AR,Lonoke,"Lonoke, AR"
Arkansas Blue Cross and Blue Shield,AR,Madison,"Madison, AR"
QualChoice Health Insurance,AR,Madison,"Madison, AR"
Ambetter of Arkansas,AR,Madison,"Madison, AR"
QualChoice Health Insurance,AR,Marion,"Marion, AR"
Ambetter of Arkansas,AR,Marion,"Marion, AR"
Arkansas Blue Cross and Blue Shield,AR,Marion,"Marion, AR"
Arkansas Blue Cross and Blue Shield,AR,Miller,"Miller, AR"
QualChoice Health Insurance,AR,Mississippi,"Mississippi, AR"
Arkansas Blue Cross and Blue Shield,AR,Mississippi,"Mississippi, AR"
Arkansas Blue Cross and Blue Shield,AR,Monroe,"Monroe, AR"
Arkansas Blue Cross and Blue Shield,AR,Montgomery,"Montgomery, AR"
QualChoice Health Insurance,AR,Montgomery,"Montgomery, AR"
Arkansas Blue Cross and Blue Shield,AR,Nevada,"Nevada, AR"
QualChoice Health Insurance,AR,Newton,"Newton, AR"
Ambetter of Arkansas,AR,Newton,"Newton, AR"
Arkansas Blue Cross and Blue Shield,AR,Newton,"Newton, AR"
Arkansas Blue Cross and Blue Shield,AR,Ouachita,"Ouachita, AR"
Ambetter of Arkansas,AR,Perry,"Perry, AR"
QualChoice Health Insurance,AR,Perry,"Perry, AR"
Arkansas Blue Cross and Blue Shield,AR,Perry,"Perry, AR"
Arkansas Blue Cross and Blue Shield,AR,Phillips,"Phillips, AR"
QualChoice Health Insurance,AR,Pike,"Pike, AR"
Arkansas Blue Cross and Blue Shield,AR,Pike,"Pike, AR"
QualChoice Health Insurance,AR,Poinsett,"Poinsett, AR"
Arkansas Blue Cross and Blue Shield,AR,Poinsett,"Poinsett, AR"
Arkansas Blue Cross and Blue Shield,AR,Polk,"Polk, AR"
Ambetter of Arkansas,AR,Polk,"Polk, AR"
QualChoice Health Insurance,AR,Polk,"Polk, AR"
Ambetter of Arkansas,AR,Pope,"Pope, AR"
QualChoice Health Insurance,AR,Pope,"Pope, AR"
Arkansas Blue Cross and Blue Shield,AR,Pope,"Pope, AR"
Arkansas Blue Cross and Blue Shield,AR,Prairie,"Prairie, AR"
QualChoice Health Insurance,AR,Prairie,"Prairie, AR"
Ambetter of Arkansas,AR,Prairie,"Prairie, AR"
Arkansas Blue Cross and Blue Shield,AR,Pulaski,"Pulaski, AR"
QualChoice Health Insurance,AR,Pulaski,"Pulaski, AR"
Ambetter of Arkansas,AR,Pulaski,"Pulaski, AR"
QualChoice Health Insurance,AR,Randolph,"Randolph, AR"
Arkansas Blue Cross and Blue Shield,AR,Randolph,"Randolph, AR"
Ambetter of Arkansas,AR,Saline,"Saline, AR"
QualChoice Health Insurance,AR,Saline,"Saline, AR"
Arkansas Blue Cross and Blue Shield,AR,Saline,"Saline, AR"
Arkansas Blue Cross and Blue Shield,AR,Scott,"Scott, AR"
QualChoice Health Insurance,AR,Scott,"Scott, AR"
Ambetter of Arkansas,AR,Scott,"Scott, AR"
Ambetter of Arkansas,AR,Searcy,"Searcy, AR"
QualChoice Health Insurance,AR,Searcy,"Searcy, AR"
Arkansas Blue Cross and Blue Shield,AR,Searcy,"Searcy, AR"
Ambetter of Arkansas,AR,Sebastian,"Sebastian, AR"
Arkansas Blue Cross and Blue Shield,AR,Sebastian,"Sebastian, AR"
QualChoice Health Insurance,AR,Sebastian,"Sebastian, AR"
Arkansas Blue Cross and Blue Shield,AR,Sevier,"Sevier, AR"
QualChoice Health Insurance,AR,Sharp,"Sharp, AR"
Arkansas Blue Cross and Blue Shield,AR,Sharp,"Sharp, AR"
Arkansas Blue Cross and Blue Shield,AR,St. Francis,"St. Francis, AR"
QualChoice Health Insurance,AR,St. Francis,"St. Francis, AR"
Arkansas Blue Cross and Blue Shield,AR,Stone,"Stone, AR"
QualChoice Health Insurance,AR,Stone,"Stone, AR"
Arkansas Blue Cross and Blue Shield,AR,Union,"Union, AR"
Arkansas Blue Cross and Blue Shield,AR,Van Buren,"Van Buren, AR"
QualChoice Health Insurance,AR,Van Buren,"Van Buren, AR"
Ambetter of Arkansas,AR,Van Buren,"Van Buren, AR"
Ambetter of Arkansas,AR,Washington,"Washington, AR"
